Model,New T2I,AUC-PR,F1 Score
2024-12-12-19-37,0.1063291139240506,0.0131257805545348,
2024-12-12-19-41,0.0147058823529411,0.0120931368571833,
2024-12-12-19-46,0.0,0.0172712505508412,
2024-12-12-19-51,0.0,0.0166312978731454,
2024-12-12-19-55,0.0,0.0181533134701445,
2024-12-12-20-00,0.0,0.0167980329443222,
2024-12-12-20-04,0.0,0.016633244543023,
2024-12-12-20-08,0.1052631578947368,0.013544647190982,
2024-12-12-21-56,0.1186868686868686,0.0174195831986512,
2024-12-12-21-56,0.1391304347826087,0.0174195831986512,
2024-12-12-21-56,0.1574803149606299,0.0174195831986512,
2024-12-12-21-56,0.1323529411764706,0.0174195831986512,
2024-12-12-21-56,0.1111111111111111,0.0174195831986512,
2024-12-12-21-56,0.1578947368421052,0.0174195831986512,
2024-12-12-21-56,0.0833333333333333,0.0174195831986512,
2024-12-12-21-56,0.0,0.0174195831986512,
2024-12-12-21-56,0.0,0.0174195831986512,
